name,county,city,address,latitude,longitude
Ridgecrest Animal Shelter,San Bernardino,Ridgecrest,411 San Bernardino Blvd,35.616286,-117.634926
Needles Animal Shelter,San Bernardino,Needles,495 Bailey Ave,34.834724,-114.615656
Barstow Humane Society,San Bernardino,Barstow,2480 E Main St,34.881552,-116.977967
Victor Valley Animal Protective League,San Bernardino,Victorville,21779 Zuni Rd,34.53631725,-117.1872005
Apple Valley Animal Shelter,San Bernardino,Apple Valley,22131 Powhatan Rd,34.49641256,-117.1809444
Hesperia Animal Shelter,San Bernardino,Hesperia,11011 Santa Fe Ave E,34.45078445,-117.2918658
Palms and Paws Animal Shelter,San Bernardino,Twentynine Palms,7086 Bullion Ave,34.12490163,-116.0635555
Yucca Valley Animal Shelter,San Bernardino,Yucca Valley,4755 Malin Way,34.167276,-116.431981
Big Bear Animal Shelter,San Bernardino,Big Bear Lake,42170 N Shore Dr,34.26327115,-116.8826473
Devore Animal Shelter,San Bernardino,San Bernardino,19777 Shelter Way,34.191587,-117.373925
Redlands Animal Shelter,San Bernardino,Redlands,504 Kansas St,34.0594309,-117.2043176
City of San Bernardino Animal Shelter,San Bernardino,San Bernardino,333 Chandler Pl,34.07660409,-117.2901935
Rancho Cucamonga Animal Control,San Bernardino,Rancho Cucamonga,11780 Arrow Route,34.09955283,-117.548553
Upland Animal Shelter,San Bernardino,Upland,1275 San Bernardino Rd,34.104405,-117.633277
Animal Resource Center of the Inland Empire,San Bernardino,Bloomington,13790 Valley Blvd,34.07026328,-117.5048146
Inland Valley Humane Society,Los Angeles,Pomona,500 Humane Way,34.05249,-117.789908
Blythe Animal Shelter,Riverside,Blythe,245 S Carlton Ave,33.60798007,-114.6100393
Coachella Valley Animal Shelter,Riverside,Thousand Palms,72050 Pet Land Pl,33.827814,-116.404496
Palm Springs Animal Shelter,Riverside,Palm Springs,4575 E Mesquite Ave,33.808061,-116.496501
San Jacinto Valley Animal Shelter,Riverside,San Jacinto,581 S Grand Ave,33.782843,-116.976696
Moreno Valley Animal Shelter,Riverside,Moreno Valley,14041 Elsworth St,33.91568744,-117.2707876
Animal Friends of the Valley Animal Shelter,Riverside,Wildomar,33751 Mission Trl,33.63162395,-117.291402
Western Riverside County/City Animal Shelter,Riverside,Riverside,6851 Van Buren Blvd,33.966904,-117.467756
Norco Animal Shelter,Riverside,Norco,3900 Acacia Ave,33.93800456,-117.5586664
Corona Animal Shelter,Riverside,Corona,1525 E 6th St,33.87433319,-117.5339134
Mary S. Roberts Pet Adoption Center,Riverside,Riverside,6165 Industrial Ave,33.96617,-117.436952
